NUTS3region,gdpPerCapita,postCodeLower,postCodeUpper
Bruxelles-Capitale/Brussel-Hoofdstad,82100,1000,1299
Antwerpen,60200,2000,2999
Mechelen,55800,2800,2899
Turnhout,60400,2300,2399
Tongeren,29700,3700,3799
Hasselt,48900,3500,3679
Maaseik,36100,3680,3699
Aalst,33500,9300,9399
Dendermonde,35400,9200,9299
Eeklo,34500,9900,9999
Gent,63400,9000,9099
Oudenaarde,37600,9700,9799
Sint-Niklaas,47200,9100,9199
Halle-Vilvoorde,66200,1500,1899
Leuven,48300,3000,3499
Brugge,51100,8000,8399
Diksmuide,35900,8600,8699
Ieper,46300,8900,8999
Kortrijk,54100,8500,8599
Oostende,42500,8400,8499
Roeselare,51900,8800,8899
Tielt,54800,8700,8799
Veurne,44800,8630,8639
Nivelles,63900,1400,1499
Mons,32200,7000,7399
Tournai-Mouscron,38300,7500,7699
La Louvière,22800,7100,7199
Ath,28300,7700,7799
Charleroi,31500,6000,6529
Soignies,29800,7800,7999
Thuin,23400,6530,6549
Huy,35800,4500,4599
Liège,39700,4000,4499
Waremme,25300,4300,4399
Verviers — communes francophones,33200,4800,4999
Bezirk Verviers — Deutschsprachige Gemeinschaft,34800,4700,4799
Arlon,30200,6700,6799
Bastogne,29000,6600,6699
Marche-en-Famenne,37500,6900,6999
Neufchâteau,36400,6800,6899
Virton,23700,6760,6769
Dinant,28500,5500,5599
Namur,39100,5000,5499
Philippeville,24300,5600,5699
